timestep Fx0 Fy0 Fz0 Fx1 Fy1 Fz1
35200 22.79360547 -2.53781883 -0.32684860 -27.49235804 -0.10679726 0.26018123
35600 25.53144895 -1.98740896 -1.92419623 -27.72978573 1.88598778 0.25680993
36000 24.03246015 4.30666779 -2.40876955 -22.48640299 16.03926625 -5.64628550
36400 31.57625084 8.95083071 7.01660449 -26.96633550 0.24068820 -1.52977849
36800 27.73192480 0.00000000 0.00000000 -27.47686593 -0.52365501 -0.10204746
37200 22.14649994 4.47052362 5.28742501 -23.50946742 1.65600323 -1.20216512
37600 25.40354667 -1.46583953 1.48410479 -27.61147783 -1.76488348 -0.68645401
38000 27.74658102 -0.13436887 0.13453712 -27.46098717 0.85719374 -0.14915160
38400 29.09659095 -2.86119068 0.40368495 -25.19740441 -0.22406102 2.23311777
38800 35.76738751 2.51254752 2.00231510 -31.89030038 -5.39495394 0.40368426
39200 30.97367352 0.65854063 2.14532720 -24.25417155 -1.58914904 0.45866198
39600 27.73192480 0.00000000 0.00000000 -27.77135544 -0.14340416 -0.00157859
40000 30.20979622 1.70378330 3.45333240 -29.88576738 -4.32659772 3.34225953
40400 -5.25567494 17.46372792 -5.45268891 -25.45656251 2.53217846 -3.40566134
40800 27.73192480 0.00000000 0.00000000 -20.57236340 -1.60058820 -5.12575648
41200 27.66346561 -4.13411521 -0.93143552 -29.46951950 -5.36598075 9.87787632
41600 27.35385335 -1.51778332 -0.30815571 -21.93345408 6.95540273 6.92977895
42000 27.77916331 -0.01412452 -0.10554454 -27.73192480 0.00000000 0.00000000
42400 27.39560535 5.12378800 -0.56738594 -27.80133226 -0.62585685 1.93480383
42800 28.89524599 -0.54241346 3.13462951 -30.30604314 -4.55240513 -1.71340218
43200 33.42008010 10.21601104 5.94247568 -27.62232811 0.79612583 0.17493420
43600 20.98250071 2.63650634 -7.27106378 -18.01730243 -1.79374965 -4.13970459
44000 28.23323312 -1.52730566 6.86162655 -17.67427980 1.50806000 -0.06269549
44400 30.91015261 10.39481269 -1.24077706 -27.73192480 0.00000000 0.00000000
44800 27.16667761 1.60639748 3.66699696 -30.10766172 3.32837193 5.63145390
45200 26.22306293 1.62180265 -2.67453524 -30.08156879 -1.14887857 -2.29956208
45600 27.27972008 -1.59120867 -3.64044469 -19.31049818 6.45069328 1.94188133
46000 27.51093676 -3.25417683 4.45490741 -25.39318200 -1.30991835 -10.26842500
46400 26.54324387 -1.37969210 -1.15922703 -26.12095777 -4.15156928 -8.05076982
46800 29.63433795 -0.65703517 -10.05313765 -25.77942975 -0.38532085 0.34797549
47200 30.80156629 1.20023649 -2.20318241 -16.80311111 7.30111196 -0.95188627
47600 26.57360172 -4.06057986 3.67321839 -29.65545202 0.12858749 2.74918597
48000 27.69285650 5.29142771 -5.08195907 -26.53944399 0.38528507 -0.90121865
48400 13.52986890 -11.06278639 3.99574675 -19.96330866 -1.73604943 2.62418115
48800 19.81601012 14.82569019 -1.68553999 -26.91177983 2.35418511 0.07891531
49200 28.14796456 2.92592388 10.65633065 -24.28233465 5.41571941 0.48673269
49600 23.05854961 -0.74742162 2.53585559 -28.02477441 -0.70217810 0.48183638
50000 25.91444700 -3.23431549 -7.10067780 -28.63820100 -0.12977244 -1.34338184
50400 33.61113500 2.64410061 7.06867743 -23.26347675 -1.05079597 4.63427104
50800 28.14721566 -0.92053272 0.32654435 -20.35094947 8.49428350 1.51392224
51200 27.97841280 3.70928705 7.77340387 -26.68470131 14.72615352 -0.57486950
51600 25.93046075 -2.12932417 -7.42173737 -27.32836909 0.42569320 0.80621593
52000 26.48765809 -1.28433328 -1.14707985 -21.37308704 1.26508983 -2.08449350
52400 28.57590303 -2.28973631 1.67222410 -23.00966209 3.76504447 2.07607179
52800 25.25900683 0.80722823 -1.19367154 -29.52318851 1.77655666 -0.15505269
53200 27.72986381 -0.19072088 -0.45191993 -24.12852016 4.71670646 -1.22432013
53600 20.65280044 0.06773413 9.42375035 -27.47492907 0.23392238 0.50168422
54000 28.61642953 -1.39411968 -4.17393180 -26.37119403 -6.98216094 9.70949530
54400 38.32991129 -4.76390034 -2.57751840 -23.96787168 -13.62732285 -1.80303696
54800 24.19784939 3.10462035 0.76306700 -27.35135469 2.02742959 1.25978838
55200 29.69753273 4.99297282 -1.63800854 -31.67176515 -4.10414655 -2.96760360
55600 27.24778343 4.89778936 0.17261806 -28.41597377 2.43709038 -1.17119967
56000 27.73192480 0.00000000 0.00000000 -29.39912686 -2.08271967 4.03552136
56400 27.24937549 0.22944357 -0.08946614 -22.36191359 -1.56774286 0.48418262
56800 26.37597335 -1.67596311 1.97394392 -20.87479383 3.31166121 -2.90173245
57200 16.44299628 -5.94973861 -3.57122345 -27.53361492 1.72742868 -0.18114802
57600 23.94625952 -10.38437167 2.93861113 -25.57239152 0.18535835 1.37266359
58000 27.94774544 -0.32295966 -0.36013630 -26.25734424 9.91012244 3.52849926
58400 27.90125576 11.35850613 6.34457722 -29.33239900 -0.64202538 -9.80181547
58800 28.06685069 0.84287869 -1.44904473 -29.26569048 3.29515595 -5.10806468
59200 24.17153744 1.95908192 -5.71420086 -27.12778552 -1.40902524 -5.37562352
59600 28.18993841 -0.96710143 -0.85609537 -25.04809335 -2.90938917 4.11085375
60000 28.99824382 1.10394131 3.21338888 -24.50734211 -3.59057341 0.21458615
60400 22.81136963 -0.70629082 -4.74873672 -27.73192480 0.00000000 0.00000000
60800 25.80185319 3.17698130 -9.37511899 -27.77047876 -1.49822506 2.50356997
61200 28.77907172 1.14167605 0.45224713 -27.33425208 0.27706965 1.81228922
61600 24.25737652 -1.89326419 4.74905947 -27.62224411 -2.68118326 1.47258706
62000 27.30650265 -0.15929640 0.16730303 -37.71880772 -18.33414937 0.97808705
62400 26.13091174 -6.23588337 -5.93734262 -28.27275500 -2.86514264 -1.95232550
62800 31.77558461 -17.95719206 7.11741592 -27.73192480 0.00000000 0.00000000
63200 28.21950193 -2.58517432 -0.95866034 -25.01186953 -1.11995294 -1.29085200
63600 27.77460636 0.16000041 -1.48812998 -27.29921363 -2.83705736 -0.24363703
64000 27.04511052 -1.76036094 0.33956853 -29.65721655 -1.86205786 -0.97261812
64400 29.28288584 -6.12328724 0.26571045 -27.33512342 1.93543318 1.22905626
64800 26.82259930 -3.67406359 -7.68594568 -25.04227217 -7.91487163 -3.53619721
65200 28.46926192 -1.41876656 2.40188674 -25.41484810 1.65922110 -2.42336708
65600 27.85367793 1.36921458 1.28920884 -27.08318249 -3.35198619 -0.48404287
66000 28.12688051 1.82548362 5.49035876 -20.79814273 -0.21186742 -0.17259638
66400 28.40189160 3.26849360 0.82468665 -27.48051630 3.16033785 1.34770879
66800 34.97493881 4.86007360 -5.17782059 -32.30810611 -0.81943066 -0.23098826
67200 19.97473217 1.34720476 -1.44267280 -27.49977442 6.91852958 -1.08301319
67600 27.38635664 6.92441975 -4.07037036 -23.92826929 -0.09773599 2.32912963
68000 26.19418180 0.97089868 0.40359227 -24.08092291 -5.83766585 9.78210054
68400 27.64412089 -6.28498179 1.51998607 -26.14014917 1.55323358 2.71832513
68800 22.33732947 0.09950224 -4.75510216 -19.05747410 -7.89039644 1.02791438
69200 27.43935907 -0.07024238 0.05477522 -28.06416629 0.83494587 0.35144123
69600 26.27513137 -0.25963043 -1.48467616 -27.99365742 2.67320698 -0.87040020
70000 20.97027172 -2.02598247 -6.83773098 -39.01277350 20.09888154 10.70678579
70400 21.91731566 7.33690264 4.30775022 -24.91702207 -6.20011983 1.68224334
70800 29.91282427 5.13994040 -1.63367957 -30.55754266 -4.57817261 -14.51012280
71200 36.81891364 -0.65534302 -11.19512761 -27.73192480 0.00000000 0.00000000
71600 21.51278202 5.73789649 0.02626421 -29.13303131 -2.73710640 -2.70518046
72000 26.21695763 2.51754257 0.65738640 -15.34878317 31.33606623 -13.33816208
72400 28.50485302 -1.52197141 0.27812519 -27.27255946 0.01905156 2.03172711
72800 28.11423058 3.07610102 -1.16781313 -30.29413178 -3.86777917 -1.03984228
73200 27.96004294 -1.61257388 -1.90617099 -31.50846169 3.25717305 -0.68565104
73600 27.21130260 0.08278936 -0.16239242 -25.53922664 0.84320359 1.59329585
74000 27.59181378 7.84298935 -0.92964559 -25.81160673 -4.77668758 0.63997443
74400 19.91314255 0.33535355 7.90416762 -25.58802057 4.21060348 -1.35705418
74800 20.82215553 -13.77035255 -5.91544536 -25.76724056 -0.03903662 -0.41027573
75200 27.42394692 0.69021248 -0.78632842 -26.87590432 -0.33281304 -0.10907389
75600 27.73192480 0.00000000 0.00000000 -28.01615113 -0.68290402 -0.26853310
76000 24.94340427 -1.25082309 0.73865571 -23.22001876 -0.64799507 2.33147668
76400 24.45698387 -1.40262155 -5.29487166 -25.17528588 7.68655207 3.49385780
76800 33.38467227 -1.66015601 9.62284907 -28.02893246 -1.72863729 0.50189233
77200 27.33477365 -0.37583929 0.87819602 -28.04944287 0.63850186 0.29416273
77600 18.84068565 5.06887078 2.44454190 -28.62745411 0.09603514 -0.85250052
78000 26.28799888 -3.30514955 2.66482481 -20.67113813 -1.92883500 -10.17447713
78400 25.70916965 0.40512944 3.55455851 -26.66367394 2.09775631 -0.02507134
78800 28.13750435 3.72547829 2.43843840 -25.55997140 1.00722445 -6.43981004
79200 23.04402204 -3.98400328 3.68679153 -27.70475412 -0.46052450 -0.07529791
79600 14.33129987 8.11794018 8.08706511 -27.64387292 2.10537451 -3.08642788
80000 25.19266537 6.66267991 0.36733504 -28.02481939 -5.26957036 0.55362457
80400 27.56012274 1.00252718 -0.52072179 -29.63404049 -0.35368143 -0.13198990
80800 23.57490964 -0.57438154 -4.14385735 -25.70744059 2.15494227 1.37461454
81200 27.99084535 0.28572221 0.19748794 -25.07550744 0.60927046 -2.27346086
81600 17.99239475 0.26740584 2.74674685 -42.52858574 11.99353948 14.06897395
82000 24.99270417 -7.37983930 8.26352725 -24.97066264 -2.72527807 -1.63578245
82400 27.05992375 0.64867899 0.78918429 -18.98784240 -0.71891664 -2.86010577
82800 23.68315710 -0.57974838 3.73310415 -19.53515391 3.89819445 12.21812431
83200 22.30874683 3.02869353 -4.17477426 -17.44149495 -13.69015461 -1.63429794
83600 30.12425681 -7.55828023 3.98301424 -26.65336226 -0.83205830 -0.75512460
84000 17.91932346 6.72276835 -5.74677150 -25.09682000 1.19036342 3.19556958
84400 28.01326379 0.22299351 0.15822726 -35.57121874 1.38796643 -6.84776665
84800 27.13005619 -0.58607621 -0.78358626 -26.61592838 -0.42878884 -0.15903815
85200 27.58288510 5.36100215 0.39701645 -23.47097612 -3.49074067 5.68775899
85600 27.73192480 0.00000000 0.00000000 -28.16363829 3.09098700 2.36989196
86000 27.45060732 2.66597704 -1.01946175 -27.29192673 0.32891561 -2.70860855
86400 28.34474806 1.00394264 3.40257112 -27.14484875 -0.65979357 0.26518949
86800 27.77162480 1.59050065 -1.23927459 -22.92229037 -11.83368680 1.27019293
87200 20.11968946 4.89483570 -2.02325094 -27.20534008 2.70419013 -1.80663513
87600 30.56535946 -1.44160938 9.28139841 -29.42476846 -6.95831198 2.24117975
88000 25.76007219 0.27344397 3.77479309 -31.12947000 6.03244747 -8.96616964
88400 23.23978228 -2.45189391 -3.68402250 -26.45150154 3.65424619 -2.38326214
88800 28.32883482 -1.83348069 0.25561786 -28.74518068 3.75874027 6.18802898
89200 27.82325096 -0.02315210 0.07767183 -30.92408112 -1.03017753 5.16416193
89600 23.59281592 4.62949350 -2.67634327 -27.71367246 0.02850246 0.05476094
90000 25.96315240 -0.08150434 0.69658917 -27.96084417 0.33545975 0.15655481
90400 26.48755354 -0.65922254 0.64809532 -32.59196119 0.60694237 5.81948821
90800 27.59314045 -6.33230330 2.85880629 -24.33620667 -0.31719749 3.15871116
91200 25.50775868 -0.62776498 -3.43223665 -27.70693756 1.50190172 -0.98756010
91600 29.85598234 -1.92982935 0.33581871 -27.45213480 0.44382350 1.38817351
92000 24.69188900 1.12440524 2.54634051 -22.89308132 -0.97004633 -4.00134964
92400 20.96894286 6.60098355 5.38330972 -31.08275308 3.14867335 -1.51931474
92800 27.73192480 0.00000000 0.00000000 -19.05382422 -2.65865600 5.46144128
93200 28.14203265 -0.76043325 -0.34148966 -18.51984761 15.66197441 -6.61938750
93600 19.89832471 -9.50637220 8.60701447 -25.59738874 -6.77765292 7.40313561
94000 27.65019493 0.07005916 0.57471004 -31.97718049 -3.11804612 12.02940567
94400 26.22813060 0.07699393 5.14798360 -27.70476976 -0.00859460 -0.01968937
94800 27.76193961 2.47640678 5.21478128 -31.04588825 7.97503191 12.57426746
95200 27.69705089 0.04379122 -0.05142213 -27.93334523 -3.70608217 13.16400120
95600 30.33998969 -7.39007439 1.86080262 -25.81457819 1.97853300 2.21609185
96000 26.10751471 -0.11010915 1.97170786 -29.38485615 -4.64506237 0.32401690
96400 26.75015257 -0.39847063 -1.16382872 -28.62667037 1.32610571 -3.81469422
96800 31.13407221 -1.34076296 -5.08516374 -26.99631517 -3.06420022 2.84584355
97200 23.37893044 -5.76759077 -0.81025827 -30.24828676 -3.67744180 -3.64271018
97600 33.34264224 3.53694497 12.95170501 -33.63113617 -9.61258528 6.84346643
98000 26.98762471 -1.70343856 -1.84756954 -25.98297898 -0.03647456 5.82662441
98400 27.58981914 0.00275760 0.32187440 -20.65166939 3.05703250 8.23319527
98800 28.16551346 0.98851886 -0.21031247 -34.16776078 4.40081448 10.03339176
99200 28.04369922 0.73144798 -0.78147653 -26.59903364 -1.03340875 0.15398569
99600 27.70069649 -0.07501179 -0.05327511 -26.16535942 1.20362076 -2.86895952
100000 23.28893188 -8.26375564 2.29700410 -40.93948822 9.07293767 5.40472616
100400 26.95804253 -3.80754165 -0.34453224 -30.33223254 -0.97460758 -3.62671967
100800 20.13544170 2.08299726 -5.65880990 -35.91283359 2.20917710 1.37827124
101200 26.55046026 0.69748545 -0.75409460 -31.72014575 5.95327725 -1.00020646
101600 28.65930127 -4.18689270 0.92705332 -31.05647207 1.97728999 4.22659034
102000 27.61214875 -1.76688281 -4.02981790 -21.66508608 -1.82558536 -0.50548126
102400 26.33455561 0.35584774 -0.64058517 -30.37599845 -9.48203856 0.59289734
102800 28.75988686 3.87152372 1.18873517 -32.35997873 0.39296212 4.17533298
103200 31.02233885 -6.51440548 18.29068676 -29.44712175 7.59758566 2.08652819
103600 29.41053125 0.05605357 -1.97548189 -27.73192480 0.00000000 0.00000000
104000 29.71452545 -13.59809671 1.31007002 -31.12263089 -8.51201740 -3.67434150
104400 27.63481981 0.03076026 0.34803402 -24.74580679 -10.46761651 -7.95441838
104800 21.67146169 1.66879696 -0.22279714 -30.38610225 5.84910433 1.88558939
105200 26.39070853 -3.31612647 -1.98479875 -18.85757295 -6.14817704 -6.16522323
105600 25.88305568 5.77018233 -1.78460895 -32.36685150 8.88218283 6.96334358
106000 33.61874683 -4.49741958 6.82364652 -29.10088042 -0.01185713 -1.94565279
106400 24.90555806 -1.68012980 2.35261389 -26.76289928 -1.95803129 -6.20633818
106800 17.83691277 0.27060202 0.12598423 -28.80172851 1.99238790 5.93234363
107200 27.16424922 1.83555744 -1.40808226 -29.19399170 1.39229451 2.96439630
107600 19.59708602 0.23290665 -7.19535444 -25.82996581 -0.33159272 0.96672121
108000 28.91620989 3.45810249 1.67983066 -34.73132496 0.27543918 -7.50452981
108400 27.21137424 -0.49636235 -2.58531586 -27.42305949 -1.34529329 0.70486963
108800 29.36558985 1.40505188 -1.28348395 -40.42736355 -15.97628388 -2.21036655
109200 24.13152874 -2.12091698 0.94440858 -22.27929510 -3.17603601 2.72575826
109600 22.95994150 1.84878065 -7.12012590 -25.13573162 -1.74960996 -2.83322995
110000 22.61728894 11.74815879 13.60390543 -24.52211052 -9.40894161 -2.59100887
110400 30.26489923 -1.69058706 7.66230047 -27.73192480 0.00000000 0.00000000
110800 26.79930457 0.16710394 0.96919172 -24.55016369 -3.25902183 7.30185593
111200 18.23914996 -1.64506364 -8.84680226 -25.44678317 -0.21721644 0.24008465
111600 29.07911939 1.13893728 0.20049844 -20.76917196 -1.68897088 -2.51097702
112000 25.45245279 13.06941917 -9.76026460 -27.09461735 -0.45242185 0.80592061
112400 28.30871263 -8.45588072 19.25617342 -31.91398573 -2.64672785 -6.91611123
112800 27.86504269 6.78835587 10.55586125 -30.23106145 2.82821618 -2.81515422
113200 26.14673375 -5.54059341 0.76350329 -19.91842492 1.75571232 5.84551282
113600 27.42848248 -0.10916399 -4.02202293 -27.83788502 -0.00726772 0.27540853
114000 23.80075867 -10.41497996 5.00942283 -27.76612741 -0.05673144 -0.11010656
114400 27.73192480 0.00000000 0.00000000 -31.09889138 -16.49552819 0.94746757
114800 25.58370343 -10.17266474 -6.53502184 -28.69157935 3.43160834 0.95051677
115200 25.09368506 -0.91947815 -7.46495191 -28.13473942 -0.95530445 -0.41483432
115600 28.62092308 4.35359492 0.49888569 -26.69585542 2.19656923 -1.88605403
116000 27.79715269 0.39488116 -0.29216766 -27.10975234 0.78035992 0.72754495
116400 25.60962668 -0.78854831 1.28973843 -28.62243451 0.43412099 -0.76212667
116800 27.73192480 0.00000000 0.00000000 -22.39756219 -4.31013447 6.57785942
117200 19.44882626 -7.03464442 10.32301222 -28.85781250 0.26466188 -1.27859192
117600 17.90270132 3.39225031 -3.71372154 -20.77709048 -0.08607226 0.65138604
118000 27.73192480 0.00000000 0.00000000 -27.56107599 -0.66493965 -0.49659637
118400 28.34767145 -0.48914554 -6.77275265 -28.90626412 -1.63565597 0.29377807
118800 31.93903332 -4.69826225 8.76672982 -33.86819946 -3.53738997 4.56322657
119200 26.04130788 -0.90214455 -7.61353939 -29.52819897 1.42781399 3.68422772
119600 24.02726075 0.09936484 -3.65825968 -29.60750400 1.53304555 -4.15914184
120000 26.51706535 -9.54154272 9.11451196 -22.74098181 -6.27998258 -6.31840183
120400 26.31417987 -0.03074762 1.86588441 -24.78974212 -1.89055339 -0.33701194
120800 28.23831613 0.31336848 -2.91761656 -29.42623940 -3.40671998 -2.48734905
121200 25.14872562 0.79282592 -2.24941917 -25.38990594 0.12241549 0.01397100
121600 25.60402608 -6.81894463 -6.55621507 -26.12164468 0.99106436 0.55844183
122000 27.29695722 -4.97606239 -2.31689279 -27.04400308 0.43455291 1.66210422
122400 25.40628068 4.01868276 2.06374346 -28.07206063 0.62081318 0.48771090
122800 28.63537665 2.46984086 0.24752673 -28.56749649 -1.34809522 -6.52453832
123200 28.29934088 0.16191091 0.68088390 -26.54380854 -0.58668499 0.67200891
123600 29.60526178 -1.37757322 3.78702930 -26.65281012 -0.43378759 -0.34442319
124000 28.30851743 -1.29262785 4.52870940 -23.98056087 1.07783664 -6.99349787
124400 30.80281850 -6.78408305 8.93340538 -29.93009308 -0.56635684 -0.55120508
124800 28.89634302 -2.53575607 -2.67112768 -28.83931271 2.42822557 0.02109012
125200 27.79461867 -0.49899737 0.72218934 -27.73192480 0.00000000 0.00000000
125600 28.10008355 -1.29089025 1.12275349 -27.58786389 0.94467777 -3.61593486
