    timestep      kinetic_energy  potential_energy kinetic_temperature
     376000          53.74529        607.24677           1.23552      
     377000          58.83283        602.24116           1.35248      
     378000          52.45752        608.60360           1.20592      
     379000          53.92845        607.15451           1.23973      
     380000          59.88169        601.09546           1.37659      
     381000          54.88386        606.07599           1.26170      
     382000          48.60769        612.47099           1.11742      
     383000          57.27345        603.78607           1.31663      
     384000          61.18294        599.83133           1.40650      
     385000          49.31377        611.77355           1.13365      
     386000          54.95700        606.09199           1.26338      
     387000          57.87519        603.20220           1.33046      
     388000          52.31217        608.79799           1.20258      
     389000          50.42506        610.64053           1.15920      
     390000          56.36341        604.64225           1.29571      
     391000          52.19548        608.88523           1.19990      
     392000          53.31649        607.72813           1.22567      
     393000          61.51149        599.41212           1.41406      
     394000          57.04976        603.92084           1.31149      
     395000          51.97627        609.13158           1.19486      
     396000          65.36718        595.62911           1.50269      
     397000          54.26312        606.78632           1.24743      
     398000          62.81429        598.16310           1.44401      
     399000          49.70250        611.38468           1.14259      
     400000          57.42386        603.61102           1.32009      
     401000          50.80655        610.28887           1.16797      
     402000          54.28147        606.77000           1.24785      
     403000          59.00754        602.01785           1.35650      
     404000          61.84718        599.15718           1.42177      
     405000          52.27625        608.80484           1.20175      
     406000          60.30010        600.74239           1.38621      
     407000          50.75491        610.34629           1.16678      
     408000          53.46346        607.63160           1.22905      
     409000          62.46892        598.54874           1.43607      
     410000          52.63908        608.40465           1.21009      
     411000          64.61874        596.34654           1.48549      
     412000          49.73971        611.29552           1.14344      
     413000          53.55824        607.53034           1.23122      
     414000          59.79651        601.20450           1.37463      
     415000          55.76683        605.29754           1.28200      
     416000          54.28061        606.79066           1.24783      
     417000          53.77234        607.33594           1.23615      
     418000          52.94307        608.09892           1.21708      
     419000          60.98061        600.11698           1.40185      
     420000          62.73916        598.28657           1.44228      
     421000          51.15023        609.94850           1.17587      
     422000          44.80543        616.35258           1.03001      
     423000          50.08804        610.98676           1.15145      
     424000          44.88032        616.24837           1.03173      
     425000          50.80259        610.32551           1.16788      
     426000          52.44638        608.68564           1.20566      
     427000          55.19704        605.90229           1.26890      
     428000          57.74412        603.28514           1.32745      
     429000          51.23004        609.85373           1.17770      
     430000          42.82222        618.23177           0.98442      
     431000          46.39216        614.71865           1.06649      
     432000          51.79528        609.20153           1.19070      
     433000          54.53639        606.43223           1.25371      
     434000          56.18427        604.73703           1.29159      
     435000          55.72216        605.42516           1.28097      
     436000          62.61308        598.39507           1.43938      
     437000          48.15625        613.02922           1.10704      
     438000          57.61554        603.42258           1.32450      
     439000          60.17981        600.84907           1.38344      
     440000          65.81437        595.19853           1.51297      
     441000          56.91519        604.22108           1.30840      
     442000          59.54936        601.52328           1.36895      
     443000          59.32638        601.75165           1.36382      
     444000          57.59768        603.48085           1.32408      
     445000          59.55041        601.48035           1.36897      
     446000          60.09234        600.91839           1.38143      
     447000          52.07064        609.01901           1.19703      
     448000          56.61740        604.49967           1.30155      
     449000          49.91819        611.17689           1.14754      
     450000          49.84918        611.28792           1.14596      
     451000          61.15123        599.88925           1.40578      
     452000          57.39687        603.64674           1.31947      
     453000          60.71633        600.35975           1.39578      
     454000          55.41469        605.69978           1.27390      
     455000          59.09039        601.99354           1.35840      
     456000          46.53720        614.51544           1.06982      
     457000          53.51236        607.60795           1.23017      
     458000          50.06768        610.94423           1.15098      
     459000          49.92742        611.17154           1.14776      
     460000          50.24028        610.82323           1.15495      
     461000          51.93735        609.24477           1.19396      
     462000          53.82390        607.35961           1.23733      
     463000          54.25603        606.80660           1.24727      
     464000          56.10126        604.98282           1.28968      
     465000          49.38378        611.72537           1.13526      
     466000          49.02968        612.03455           1.12712      
     467000          44.49967        616.56461           1.02298      
     468000          46.63019        614.42009           1.07196      
     469000          49.42462        611.67972           1.13620      
     470000          54.41037        606.64515           1.25081      
     471000          57.83502        603.07860           1.32954      
     472000          58.85061        602.11538           1.35289      
     473000          58.30344        602.69310           1.34031      
     474000          61.33739        599.64976           1.41006      
     475000          56.59400        604.43216           1.30101      
     476000          54.45436        606.59051           1.25182      
     477000          53.06487        608.05954           1.21988      
     478000          60.44201        600.56904           1.38947      
     479000          57.30098        603.76783           1.31726      
     480000          57.10023        603.97890           1.31265      
     481000          51.61550        609.48720           1.18656      
     482000          42.76358        618.37575           0.98307      
     483000          63.09267        597.76505           1.45041      
     484000          55.86491        605.18621           1.28425      
     485000          51.38357        609.75684           1.18123      
     486000          58.15274        602.94083           1.33684      
     487000          58.37247        602.62820           1.34190      
     488000          55.39084        605.60764           1.27335      
     489000          56.66853        604.24834           1.30272      
     490000          58.61115        602.43223           1.34738      
     491000          62.29978        598.65956           1.43218      
     492000          60.23771        600.81591           1.38477      
     493000          63.84381        597.13379           1.46767      
     494000          52.59817        608.46224           1.20915      
     495000          53.36475        607.71798           1.22678      
     496000          62.68946        598.34767           1.44114      
     497000          51.65380        609.43557           1.18744      
     498000          57.84918        603.21287           1.32987      
     499000          56.36442        604.68285           1.29573      
     500000          55.06670        606.01894           1.26590      
     501000          53.02219        607.99538           1.21890      
     502000          61.18733        599.84062           1.40661      
     503000          58.60658        602.43447           1.34728      
     504000          58.93676        602.09907           1.35487      
     505000          56.16340        604.89965           1.29111      
     506000          63.15417        597.87622           1.45182      
     507000          59.21783        601.80799           1.36133      
     508000          53.53643        607.47985           1.23072      
     509000          41.72553        619.40030           0.95921      
     510000          54.17901        606.82992           1.24549      
     511000          57.53031        603.45791           1.32254      
     512000          54.70169        606.36385           1.25751      
     513000          58.54701        602.44426           1.34591      
     514000          54.32175        606.66197           1.24878      
     515000          55.50442        605.45497           1.27596      
     516000          56.95565        604.02593           1.30933      
     517000          53.07956        607.89927           1.22022      
     518000          54.79722        606.19382           1.25971      
     519000          55.94686        605.05947           1.28613      
     520000          52.77386        608.23426           1.21319      
     521000          48.43231        612.62808           1.11339      
     522000          57.64353        603.35062           1.32514      
     523000          56.42772        604.58311           1.29719      
     524000          56.11257        604.90052           1.28994      
     525000          60.89774        600.09621           1.39995      
     526000          57.46427        603.55888           1.32102      
     527000          58.34689        602.66914           1.34131      
     528000          55.87993        605.13158           1.28460      
     529000          52.32791        608.66882           1.20294      
     530000          55.11284        605.88315           1.26696      
     531000          55.12154        605.96337           1.26716      
     532000          49.00183        612.00055           1.12648      
     533000          45.96773        615.07174           1.05673      
     534000          57.16644        603.86048           1.31417      
     535000          55.17802        605.85608           1.26846      
     536000          52.60179        608.50200           1.20924      
     537000          57.27284        603.74148           1.31662      
     538000          56.49541        604.57908           1.29875      
     539000          58.75978        602.25734           1.35080      
     540000          51.14962        609.91319           1.17585      
     541000          48.70101        612.40149           1.11956      
     542000          55.63278        605.40570           1.27891      
     543000          52.97525        608.15420           1.21782      
     544000          52.18459        608.87865           1.19965      
     545000          58.36153        602.61358           1.34164      
     546000          64.75748        596.22554           1.48868      
     547000          56.31026        604.76225           1.29449      
     548000          52.73580        608.34552           1.21232      
     549000          51.41386        609.69642           1.18193      
     550000          60.26376        600.68325           1.38537      
     551000          51.15979        609.88914           1.17609      
     552000          60.83321        600.18418           1.39846      
     553000          57.64890        603.37261           1.32526      
     554000          53.35119        607.66830           1.22646      
     555000          52.87397        608.19527           1.21549      
     556000          61.72755        599.29169           1.41902      
     557000          57.47358        603.52788           1.32123      
     558000          47.21514        613.90919           1.08541      
     559000          52.59939        608.45100           1.20918      
     560000          54.84392        606.20967           1.26078      
     561000          52.42173        608.66125           1.20510      
     562000          54.36993        606.69235           1.24988      
     563000          56.87988        604.20047           1.30758      
     564000          54.93294        606.07119           1.26283      
     565000          48.45506        612.66773           1.11391      
     566000          60.35014        600.66206           1.38736      
     567000          54.76486        606.30843           1.25896      
     568000          59.00059        602.07482           1.35634      
     569000          55.03753        606.03350           1.26523      
     570000          53.21252        607.89631           1.22328      
     571000          51.42635        609.62434           1.18221      
     572000          50.70029        610.37844           1.16552      
     573000          60.62504        600.31434           1.39368      
     574000          50.70818        610.28660           1.16571      
     575000          53.59756        607.46212           1.23213      
     576000          48.62445        612.45122           1.11780      
     577000          53.25989        607.78615           1.22437      
     578000          50.73587        610.26425           1.16634      
     579000          50.49522        610.53981           1.16081      
     580000          50.05450        611.01280           1.15068      
     581000          60.53676        600.51229           1.39165      
     582000          54.24902        606.75180           1.24710      
     583000          56.12609        604.89853           1.29025      
     584000          59.70566        601.23912           1.37254      
     585000          55.24142        605.79407           1.26992      
     586000          54.44742        606.59413           1.25166      
     587000          50.34729        610.68124           1.15741      
     588000          55.86377        605.16513           1.28422      
     589000          59.59626        601.41006           1.37003      
     590000          57.23604        603.75241           1.31577      
     591000          54.23633        606.79702           1.24681      
     592000          51.68015        609.38046           1.18805      
     593000          58.71933        602.29595           1.34987      
     594000          56.68579        604.28818           1.30312      
     595000          50.89332        610.11887           1.16996      
     596000          61.93236        599.06094           1.42373      
     597000          64.15023        596.80470           1.47472      
     598000          56.35584        604.70048           1.29554      
     599000          55.53062        605.45423           1.27657      
     600000          57.40747        603.64137           1.31971      
     601000          59.18860        601.84965           1.36066      
     602000          58.79120        602.19249           1.35152      
     603000          55.63180        605.38954           1.27889      
     604000          52.59967        608.46759           1.20919      
     605000          58.94955        602.07693           1.35516      
     606000          56.89630        604.11704           1.30796      
     607000          62.48940        598.41052           1.43654      
     608000          56.11666        604.89759           1.29004      
     609000          48.84701        612.26967           1.12292      
     610000          58.07938        602.95585           1.33516      
     611000          54.97067        606.08145           1.26369      
     612000          50.43917        610.59374           1.15952      
     613000          56.66621        604.30959           1.30267      
     614000          52.34183        608.74899           1.20326      
     615000          59.06868        601.94696           1.35790      
     616000          56.24465        604.74519           1.29298      
     617000          53.06428        607.98300           1.21987      
     618000          47.07937        613.91389           1.08228      
     619000          50.09739        610.86405           1.15166      
     620000          59.55006        601.40252           1.36897      
     621000          53.51221        607.51221           1.23017      
     622000          61.81182        599.19351           1.42096      
     623000          58.75923        602.24708           1.35079      
     624000          58.81516        602.19069           1.35207      
     625000          56.19104        604.83835           1.29175      
     626000          54.84765        606.19562           1.26087      
     627000          49.12136        611.94571           1.12923      
     628000          51.99467        609.02044           1.19528      
     629000          66.58859        594.22786           1.53077      
     630000          51.99901        609.05511           1.19538      
     631000          61.22078        599.81456           1.40737      
     632000          63.22727        597.79352           1.45350      
